#logback.classic pattern: %d{HH:mm:ss} [%thread] %-5level %logger{0} - %msg%n
20:40:43 [main] INFO  Application - Указан стандартный пул потоков, executorType = 'STANDARD'
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task134 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task138 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task135 is completed.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task136 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task139 is started.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task140 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task137 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task141 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task138 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task142 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task139 is completed.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task140 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task143 is started.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task144 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task141 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task145 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task142 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task146 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task143 is completed.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task144 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task147 is started.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task148 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task145 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task149 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task146 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task150 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task147 is completed.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task148 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task151 is started.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task152 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task149 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task153 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task150 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task154 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task151 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task155 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task152 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task156 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task153 is completed.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task154 is completed.
